STATECD.x,PLOT_STATUS_CD,PLOT_FIADB.x,State_Plot,STATECD.y,PLOT_FIADB.y,sum_propfor,n_plots
41,1,55417,5541741,41,55417,2,2
41,1,75661,7566141,41,75661,1,2
41,1,91047,9104741,41,91047,2,2
41,1,82714,8271441,41,82714,2,2
41,1,90838,9083841,41,90838,2,2
41,1,52821,5282141,41,52821,1.979526,2
41,1,52836,5283641,41,52836,1.96385,2
41,1,63618,6361841,41,63618,2,2
41,1,71019,7101941,41,71019,2,2
41,1,79008,7900841,41,79008,2,2
41,1,69473,6947341,41,69473,1,2
41,1,76874,7687441,41,76874,0.800324,2
41,1,65732,6573241,41,65732,2,2
41,1,69696,6969641,41,69696,2,2
41,1,64703,6470341,41,64703,1,2
41,1,94365,9436541,41,94365,1.779083,2
41,1,57633,5763341,41,57633,2,2
41,1,87036,8703641,41,87036,2,2
41,1,81272,8127241,41,81272,2,2
41,1,99858,9985841,41,99858,2,2
41,1,52748,5274841,41,52748,2,2
41,1,92724,9272441,41,92724,2,2
41,1,59957,5995741,41,59957,2,2
41,1,85300,8530041,41,85300,2,2
41,1,97458,9745841,41,97458,2,2
41,1,51912,5191241,41,51912,2,2
41,1,62841,6284141,41,62841,2,2
41,1,68299,6829941,41,68299,0.527778,2
41,1,62079,6207941,41,62079,2,2
41,1,88561,8856141,41,88561,1.963606,2
41,1,87914,8791441,41,87914,0.05531,2
41,1,91031,9103141,41,91031,1.5,2
41,1,50316,5031641,41,50316,2,2
41,1,75713,7571341,41,75713,0.476234,2
41,1,75261,7526141,41,75261,1,2
41,1,69182,6918241,41,69182,2,2
41,1,58123,5812341,41,58123,1,2
41,1,79326,7932641,41,79326,1.457782,2
41,1,85401,8540141,41,85401,1.25,2
41,1,67228,6722841,41,67228,2,2
41,1,61311,6131141,41,61311,1,2
41,1,93712,9371241,41,93712,2,2
41,1,73705,7370541,41,73705,1,2
41,1,89653,8965341,41,89653,2,2
41,1,66840,6684041,41,66840,2,2
41,1,53551,5355141,41,53551,2,2
41,1,70230,7023041,41,70230,2,2
41,1,67056,6705641,41,67056,2,2
41,1,53794,5379441,41,53794,2,2
41,1,61799,6179941,41,61799,1.75,2
41,1,81509,8150941,41,81509,2,2
41,1,73438,7343841,41,73438,2,2
41,1,67613,6761341,41,67613,2,2
41,1,78098,7809841,41,78098,2,2
41,1,79824,7982441,41,79824,2,2
41,1,60781,6078141,41,60781,1.75,2
41,1,88864,8886441,41,88864,2,2
41,1,52981,5298141,41,52981,1,2
41,1,60191,6019141,41,60191,2,2
41,1,58493,5849341,41,58493,2,2
41,1,89162,8916241,41,89162,2,2
41,1,84628,8462841,41,84628,2,2
41,1,73735,7373541,41,73735,2,2
41,1,51112,5111241,41,51112,0.92603,2
41,1,77081,7708141,41,77081,1.3957869999999999,2
41,1,85047,8504741,41,85047,2,2
41,1,95763,9576341,41,95763,2,2
41,1,75250,7525041,41,75250,0.654449,2
41,1,69527,6952741,41,69527,2,2
41,1,91273,9127341,41,91273,1.788696,2
41,1,64441,6444141,41,64441,2,2
